ID,CLIENTNUM,Status,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Months_Inactive_12_mon,Contacts_Count_12_mon,Dependent_count
8862,711550983,Existing Customer,46,M,Graduate,Divorced,Rp 3.000.000 - Rp 5.000.000,Blue,37,1,11343000.0,1175000,10168000.0,8313000,107,0.104,2,2,1
4928,790000608,Existing Customer,64,F,Graduate,Single,< Rp 3.000.000,Blue,56,4,6723000.0,968000,5755000.0,3838000,67,0.144,1,1,1
2210,789050883,Existing Customer,33,F,Doctorate,Single,Unknown,Blue,21,4,5297000.0,0,5297000.0,2655000,62,0.0,3,4,2
5517,771403008,Existing Customer,52,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Blue,40,4,7215000.0,0,7215000.0,4409000,75,0.0,1,3,2
1763,713413758,Existing Customer,26,F,College,Single,Unknown,Blue,16,4,2751000.0,1599000,1152000.0,2270000,44,0.581,3,3,1
4892,770828358,Existing Customer,38,M,Graduate,Unknown,Rp 8.000.000 - Rp 15.000.000,Blue,25,4,8138000.0,0,8138000.0,4839000,61,0.0,2,4,1
506,720267033,Existing Customer,34,M,Post-Graduate,Single,Rp 8.000.000 - Rp 15.000.000,Blue,26,3,5100000.0,1786000,3314000.0,2375000,63,0.35,3,2,4
4407,793269933,Existing Customer,46,M,Graduate,Unknown,Rp 5.000.000 - Rp 8.000.000,Silver,40,6,28829000.0,0,28829000.0,4540000,78,0.0,3,2,3
2843,719076858,Existing Customer,34,M,College,Single,Rp 5.000.000 - Rp 8.000.000,Blue,20,5,2165000.0,1952000,213000.0,2651000,81,0.902,1,2,4
9018,814760358,Existing Customer,53,M,Graduate,Unknown,Rp 3.000.000 - Rp 5.000.000,Blue,48,2,14627000.0,1997000,12630000.0,7766000,82,0.137,2,2,3
8488,719237058,Existing Customer,39,M,Doctorate,Single,Rp 5.000.000 - Rp 8.000.000,Blue,36,2,1790000.0,891000,899000.0,4498000,96,0.498,2,1,2
